"File","Rows","Columns","Cells","Trials","Format"
"1348_003f19ru_o_Baseline Correction_50_179.dat",18430,63,1161090,5,"Correct"
"1348_003f19ru_o_Baseline Correction_50_183.dat",18430,63,1161090,5,"Correct"
"1348_003f19ru_o_Baseline Correction_50_187.dat",18430,63,1161090,5,"Correct"
"1348_003f19ru_o_Baseline Correction_50_191.dat",18430,63,1161090,5,"Correct"
"1348_003f19ru_o_Baseline Correction_50_199.dat",18430,63,1161090,5,"Correct"
"1348_003f19ru_o_Baseline Correction_50_203.dat",18430,63,1161090,5,"Correct"
"1348_003f19ru_o_Baseline Correction_50_207.dat",18430,63,1161090,5,"Correct"
"1348_003f19ru_o_Baseline Correction_50_211.dat",18430,63,1161090,5,"Correct"
"1348_003f19ru_o_Baseline Correction_50_215.dat",18430,63,1161090,5,"Correct"
"1348_003f19ru_o_Baseline Correction_50_219.dat",18430,63,1161090,5,"Correct"
"1348_003f19ru_o_Baseline Correction_50_223.dat",18430,63,1161090,5,"Correct"
"1348_003f19ru_o_Baseline Correction_50_95.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_039.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_043.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_047.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_051.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_055.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_059.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_063.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_071.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_075.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_079.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_083.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_087.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_091.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_167.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_171.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_175.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_179.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_183.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_187.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_191.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_199.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_203.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_207.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_211.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_215.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_219.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_223.dat",18430,63,1161090,5,"Correct"
"1351_004f19ru_o_Baseline Correction_50_95.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_039.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_043.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_047.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_051.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_055.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_059.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_063.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_071.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_075.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_079.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_083.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_087.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_091.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_167.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_171.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_175.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_179.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_183.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_187.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_191.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_199.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_203.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_207.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_211.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_215.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_219.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_223.dat",18430,63,1161090,5,"Correct"
"1352_006m19ru_o_Baseline Correction_50_95.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_039.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_043.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_047.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_051.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_055.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_059.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_063.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_071.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_075.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_079.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_083.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_087.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_091.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_167.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_171.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_175.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_179.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_183.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_187.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_191.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_199.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_203.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_207.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_211.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_215.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_219.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_223.dat",18430,63,1161090,5,"Correct"
"1353_007m35en_o_Baseline Correction_50_95.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_039.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_043.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_047.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_051.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_055.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_059.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_063.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_071.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_075.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_079.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_083.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_087.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_091.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_167.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_171.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_175.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_179.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_183.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_187.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_191.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_199.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_203.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_207.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_211.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_215.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_219.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_223.dat",18430,63,1161090,5,"Correct"
"1354_008f34ee_o_Baseline Correction_50_95.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_039.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_043.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_047.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_051.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_055.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_059.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_063.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_071.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_075.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_079.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_083.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_087.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_091.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_167.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_171.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_175.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_179.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_183.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_187.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_191.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_199.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_203.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_207.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_211.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_215.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_219.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_223.dat",18430,63,1161090,5,"Correct"
"1355_009m36en_o_Baseline Correction_50_95.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_039.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_043.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_047.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_051.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_055.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_059.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_063.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_071.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_075.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_079.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_083.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_087.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_091.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_167.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_171.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_175.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_179.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_183.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_187.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_191.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_199.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_203.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_207.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_211.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_215.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_219.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_223.dat",18430,63,1161090,5,"Correct"
"1356_010f26ee_o_Baseline Correction_50_95.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_039.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_043.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_047.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_051.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_055.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_059.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_063.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_071.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_075.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_079.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_083.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_087.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_091.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_167.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_171.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_175.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_179.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_183.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_187.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_191.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_199.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_203.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_207.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_211.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_215.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_219.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_223.dat",18430,63,1161090,5,"Correct"
"1357_011m37ru_o_Baseline Correction_50_95.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_039.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_043.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_047.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_051.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_055.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_059.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_063.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_071.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_075.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_079.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_083.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_087.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_091.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_167.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_171.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_175.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_179.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_183.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_187.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_191.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_199.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_203.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_207.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_211.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_215.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_219.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_223.dat",18430,63,1161090,5,"Correct"
"1364_014m42ru_o_Baseline Correction_50_95.dat",18430,63,1161090,5,"Correct"
"1365_015m23en_o_Baseline Correction_50_039.dat",18430,63,1161090,5,"Correct"
"1365_015m23en_o_Baseline Correction_50_043.dat",18430,63,1161090,5,"Correct"
"1365_015m23en_o_Baseline Correction_50_047.dat",18430,63,1161090,5,"Correct"
"1365_015m23en_o_Baseline Correction_50_051.dat",18430,63,1161090,5,"Correct"
"1365_015m23en_o_Baseline Correction_50_055.dat",18430,63,1161090,5,"Correct"
"1365_015m23en_o_Baseline Correction_50_059.dat",18430,63,1161090,5,"Correct"
"1365_015m23en_o_Baseline Correction_50_063.dat",18430,63,1161090,5,"Correct"
"1365_015m23en_o_Baseline Correction_50_071.dat",18430,63,1161090,5,"Correct"
"1365_015m23en_o_Baseline Correction_50_075.dat",18430,63,1161090,5,"Correct"
"1365_015m23en_o_Baseline Correction_50_079.dat",18430,63,1161090,5,"Correct"
